meter_id,timestamp,soc_pct,power_kw,direction,available_energy_kwh,temperature_c,health_pct
20020,2025-09-12T09:00:00,96.0,-4.74,Charging,9.6,32.7,96.3
20027,2025-09-12T09:00:00,85.3,-3.06,Charging,8.53,29.8,98.3
30035,2025-09-12T09:00:00,100,-4.97,Charging,10.0,30.8,99.1
30041,2025-09-12T09:00:00,76.9,-4.04,Charging,7.69,28.6,96.3
40045,2025-09-12T09:00:00,91.1,-4.05,Charging,9.11,30.9,97.4
40051,2025-09-12T09:00:00,83.8,-4.0,Charging,8.38,31.5,96.8
10006,2025-09-12T10:00:00,97.7,0.0,Idle,9.77,26.5,97.9
20018,2025-09-12T10:00:00,100,-3.16,Charging,10.0,29.6,97.9
20020,2025-09-12T10:00:00,96.0,0.0,Idle,9.6,24.3,98.2
20027,2025-09-12T10:00:00,100,-3.27,Charging,10.0,29.8,97.2
30035,2025-09-12T10:00:00,100,0.0,Idle,10.0,26.0,99.8
30041,2025-09-12T10:00:00,100,-4.95,Charging,10.0,34.1,99.8
40045,2025-09-12T10:00:00,100,-4.85,Charging,10.0,34.1,96.1
40051,2025-09-12T10:00:00,100,-3.98,Charging,10.0,29.8,98.4
10006,2025-09-12T11:00:00,97.7,0.0,Idle,9.77,27.0,98.5
20018,2025-09-12T11:00:00,100,0.0,Idle,10.0,26.2,99.7
20020,2025-09-12T11:00:00,96.0,0.0,Idle,9.6,28.5,99.8
20027,2025-09-12T11:00:00,100,0.0,Idle,10.0,28.1,96.1
30035,2025-09-12T11:00:00,100,0.0,Idle,10.0,29.0,99.8
30041,2025-09-12T11:00:00,100,0.0,Idle,10.0,28.8,96.1
40045,2025-09-12T11:00:00,100,0.0,Idle,10.0,29.3,98.8
40051,2025-09-12T11:00:00,100,0.0,Idle,10.0,27.9,98.1
10006,2025-09-12T12:00:00,97.7,0.0,Idle,9.77,26.4,99.2
20018,2025-09-12T12:00:00,100,0.0,Idle,10.0,27.1,96.0
20020,2025-09-12T12:00:00,96.0,0.0,Idle,9.6,29.5,99.9
20027,2025-09-12T12:00:00,100,0.0,Idle,10.0,28.6,99.3
30035,2025-09-12T12:00:00,100,0.0,Idle,10.0,27.1,97.4
30041,2025-09-12T12:00:00,100,0.0,Idle,10.0,28.4,96.1
40045,2025-09-12T12:00:00,100,0.0,Idle,10.0,28.0,98.3
40051,2025-09-12T12:00:00,100,0.0,Idle,10.0,27.1,98.1
10006,2025-09-12T13:00:00,97.7,0.0,Idle,9.77,27.3,97.8
20018,2025-09-12T13:00:00,100,0.0,Idle,10.0,29.4,96.9
20020,2025-09-12T13:00:00,96.0,0.0,Idle,9.6,28.6,96.6
20027,2025-09-12T13:00:00,100,0.0,Idle,10.0,27.7,97.0
30035,2025-09-12T13:00:00,100,0.0,Idle,10.0,26.4,97.3
30041,2025-09-12T13:00:00,100,0.0,Idle,10.0,28.3,97.0
40045,2025-09-12T13:00:00,100,0.0,Idle,10.0,27.7,98.1
40051,2025-09-12T13:00:00,100,0.0,Idle,10.0,27.5,97.0
10006,2025-09-12T14:00:00,97.7,0.0,Idle,9.77,28.3,96.9
20018,2025-09-12T14:00:00,100,0.0,Idle,10.0,27.4,97.2
20020,2025-09-12T14:00:00,96.0,0.0,Idle,9.6,27.0,98.7
20027,2025-09-12T14:00:00,100,0.0,Idle,10.0,29.2,99.2
30035,2025-09-12T14:00:00,100,0.0,Idle,10.0,27.4,99.1
30041,2025-09-12T14:00:00,100,0.0,Idle,10.0,27.7,97.0
40045,2025-09-12T14:00:00,100,0.0,Idle,10.0,28.0,100.0
40051,2025-09-12T14:00:00,100,0.0,Idle,10.0,28.8,97.5
10006,2025-09-12T15:00:00,97.7,0.0,Idle,9.77,25.6,100.0
20018,2025-09-12T15:00:00,100,0.0,Idle,10.0,28.7,97.5
20020,2025-09-12T15:00:00,96.0,0.0,Idle,9.6,28.2,99.1
20027,2025-09-12T15:00:00,100,0.0,Idle,10.0,28.3,97.4
30035,2025-09-12T15:00:00,100,0.0,Idle,10.0,27.2,97.1
30041,2025-09-12T15:00:00,100,0.0,Idle,10.0,26.1,98.4
40045,2025-09-12T15:00:00,100,0.0,Idle,10.0,26.9,99.3
40051,2025-09-12T15:00:00,100,0.0,Idle,10.0,25.9,96.1
10006,2025-09-12T16:00:00,97.7,0.0,Idle,9.77,24.9,96.3
20018,2025-09-12T16:00:00,100,0.0,Idle,10.0,25.9,99.7
20020,2025-09-12T16:00:00,96.0,0.0,Idle,9.6,26.3,99.5
20027,2025-09-12T16:00:00,100,0.0,Idle,10.0,26.4,99.8
30035,2025-09-12T16:00:00,100,0.0,Idle,10.0,26.7,99.7
30041,2025-09-12T16:00:00,100,0.0,Idle,10.0,25.5,96.6
40045,2025-09-12T16:00:00,100,0.0,Idle,10.0,25.4,96.8
40051,2025-09-12T16:00:00,100,0.0,Idle,10.0,23.5,96.5
10006,2025-09-12T17:00:00,97.7,0.0,Idle,9.77,23.8,98.9
20018,2025-09-12T17:00:00,100,0.0,Idle,10.0,22.8,99.8
20020,2025-09-12T17:00:00,96.0,0.0,Idle,9.6,23.8,96.5
20027,2025-09-12T17:00:00,100,0.0,Idle,10.0,25.0,97.1
30035,2025-09-12T17:00:00,100,0.0,Idle,10.0,25.1,96.7
30041,2025-09-12T17:00:00,100,0.0,Idle,10.0,24.6,97.4
40045,2025-09-12T17:00:00,100,0.0,Idle,10.0,25.5,96.7
40051,2025-09-12T17:00:00,100,0.0,Idle,10.0,25.0,96.5
10006,2025-09-12T18:00:00,57.2,4.05,Discharging,5.72,27.2,99.0
20018,2025-09-12T18:00:00,59.5,4.05,Discharging,5.95,28.1,99.8
20020,2025-09-12T18:00:00,64.4,3.16,Discharging,6.44,27.5,97.2
20027,2025-09-12T18:00:00,54.8,4.52,Discharging,5.48,29.4,99.7
30035,2025-09-12T18:00:00,59.9,4.01,Discharging,5.99,28.9,98.3
30041,2025-09-12T18:00:00,64.1,3.59,Discharging,6.41,28.7,99.2
40045,2025-09-12T18:00:00,50.5,4.95,Discharging,5.05,28.2,99.4
40051,2025-09-12T18:00:00,60.7,3.93,Discharging,6.07,28.7,96.8
10006,2025-09-12T19:00:00,10,4.89,Discharging,1.0,28.9,99.1
20018,2025-09-12T19:00:00,21.5,3.8,Discharging,2.15,27.3,96.2
20020,2025-09-12T19:00:00,31.1,3.33,Discharging,3.11,27.6,96.8
20027,2025-09-12T19:00:00,24.4,3.04,Discharging,2.44,27.9,96.9
30035,2025-09-12T19:00:00,13.9,4.6,Discharging,1.39,26.9,97.9
30041,2025-09-12T19:00:00,30.4,3.37,Discharging,3.04,26.9,96.1
40045,2025-09-12T19:00:00,14.4,3.61,Discharging,1.44,27.9,98.5
40051,2025-09-12T19:00:00,23.3,3.74,Discharging,2.33,27.5,97.9
10006,2025-09-12T20:00:00,10,0.0,Idle,1.0,21.7,97.4
20018,2025-09-12T20:00:00,10,4.77,Discharging,1.0,27.4,98.3
20020,2025-09-12T20:00:00,10,3.83,Discharging,1.0,25.8,97.3
20027,2025-09-12T20:00:00,10,4.83,Discharging,1.0,27.8,96.9
30035,2025-09-12T20:00:00,13.9,0.0,Idle,1.39,24.1,99.5
30041,2025-09-12T20:00:00,10,3.33,Discharging,1.0,25.5,98.0
40045,2025-09-12T20:00:00,14.4,0.0,Idle,1.44,23.1,96.7
40051,2025-09-12T20:00:00,10,4.45,Discharging,1.0,27.6,96.9
10006,2025-09-12T21:00:00,10,0.0,Idle,1.0,21.4,99.8
20018,2025-09-12T21:00:00,10,0.0,Idle,1.0,21.6,97.1
20020,2025-09-12T21:00:00,10,0.0,Idle,1.0,23.2,97.4
20027,2025-09-12T21:00:00,10,0.0,Idle,1.0,22.8,98.2
30035,2025-09-12T21:00:00,13.9,0.0,Idle,1.39,19.6,98.1
30041,2025-09-12T21:00:00,10,0.0,Idle,1.0,21.9,97.5
40045,2025-09-12T21:00:00,14.4,0.0,Idle,1.44,23.1,97.1
40051,2025-09-12T21:00:00,10,0.0,Idle,1.0,21.9,98.3
10006,2025-09-12T22:00:00,10,0.0,Idle,1.0,20.8,96.4
20018,2025-09-12T22:00:00,10,0.0,Idle,1.0,20.8,98.0
20020,2025-09-12T22:00:00,10,0.0,Idle,1.0,20.2,99.9
20027,2025-09-12T22:00:00,10,0.0,Idle,1.0,21.8,97.1
30035,2025-09-12T22:00:00,13.9,0.0,Idle,1.39,21.2,99.2
30041,2025-09-12T22:00:00,10,0.0,Idle,1.0,21.7,96.9
40045,2025-09-12T22:00:00,14.4,0.0,Idle,1.44,22.5,97.0
40051,2025-09-12T22:00:00,10,0.0,Idle,1.0,20.0,99.6
10006,2025-09-12T23:00:00,10,0.0,Idle,1.0,20.3,98.2
20018,2025-09-12T23:00:00,10,0.0,Idle,1.0,21.4,99.8
20020,2025-09-12T23:00:00,10,0.0,Idle,1.0,20.3,97.2
20027,2025-09-12T23:00:00,10,0.0,Idle,1.0,21.5,99.4
30035,2025-09-12T23:00:00,13.9,0.0,Idle,1.39,20.5,96.8
30041,2025-09-12T23:00:00,10,0.0,Idle,1.0,21.4,96.9
40045,2025-09-12T23:00:00,14.4,0.0,Idle,1.44,22.3,99.9
40051,2025-09-12T23:00:00,10,0.0,Idle,1.0,19.8,99.7
