meter_id,timestamp,current_consumption_kw,daily_import_kwh,daily_export_kwh,voltage_rms_v,power_factor,grid_connection_status
30040,2025-09-12T00:00:00,0.81,0.81,0.0,229.0,0.94,Connected
30041,2025-09-12T00:00:00,0.79,0.79,0.0,230.2,0.85,Connected
30042,2025-09-12T00:00:00,0.86,0.86,0.0,226.6,0.99,Connected
40043,2025-09-12T00:00:00,0.4,0.4,0.0,232.7,0.96,Connected
40044,2025-09-12T00:00:00,0.44,0.44,0.0,230.8,0.89,Connected
40045,2025-09-12T00:00:00,0.45,0.45,0.0,229.4,0.97,Connected
40046,2025-09-12T00:00:00,0.47,0.47,0.0,231.4,0.98,Connected
40047,2025-09-12T00:00:00,0.37,0.37,0.0,233.2,1.0,Connected
40048,2025-09-12T00:00:00,0.46,0.46,0.0,226.9,0.99,Connected
40049,2025-09-12T00:00:00,0.43,0.43,0.0,233.6,0.98,Connected
40050,2025-09-12T00:00:00,0.46,0.46,0.0,225.0,0.87,Connected
40051,2025-09-12T00:00:00,0.43,0.43,0.0,222.6,0.87,Connected
40052,2025-09-12T00:00:00,0.36,0.36,0.0,228.0,0.9,Connected
40053,2025-09-12T00:00:00,0.38,0.38,0.0,227.9,0.92,Connected
40054,2025-09-12T00:00:00,0.48,0.48,0.0,229.7,0.95,Connected
40055,2025-09-12T00:00:00,0.46,0.46,0.0,233.3,0.88,Connected
40056,2025-09-12T00:00:00,0.4,0.4,0.0,230.2,0.85,Connected
40057,2025-09-12T00:00:00,0.39,0.39,0.0,230.0,1.0,Connected
40058,2025-09-12T00:00:00,0.36,0.36,0.0,229.5,0.92,Connected
40059,2025-09-12T00:00:00,0.46,0.46,0.0,227.5,0.99,Connected
10000,2025-09-12T01:00:00,1.35,3.06,0.0,227.6,0.96,Connected
10001,2025-09-12T01:00:00,1.5,3.25,0.0,231.8,0.87,Connected
10002,2025-09-12T01:00:00,1.62,3.25,0.0,231.4,0.87,Connected
10003,2025-09-12T01:00:00,1.39,3.24,0.0,234.6,0.88,Connected
10004,2025-09-12T01:00:00,1.46,2.98,0.0,225.8,0.86,Connected
10005,2025-09-12T01:00:00,1.23,3.06,0.0,221.8,0.92,Connected
10006,2025-09-12T01:00:00,1.5,2.94,0.0,223.4,0.91,Connected
10007,2025-09-12T01:00:00,1.49,3.2,0.0,228.0,0.85,Connected
10008,2025-09-12T01:00:00,1.22,3.09,0.0,230.7,0.93,Connected
10009,2025-09-12T01:00:00,1.47,2.96,0.0,231.1,0.97,Connected
10010,2025-09-12T01:00:00,1.26,3.0,0.0,227.3,0.98,Connected
10011,2025-09-12T01:00:00,1.46,3.15,0.0,225.0,0.98,Connected
20012,2025-09-12T01:00:00,0.41,0.8,0.0,228.6,0.94,Connected
20013,2025-09-12T01:00:00,0.31,0.71,0.0,235.9,0.92,Connected
20014,2025-09-12T01:00:00,0.37,0.74,0.0,225.8,0.86,Connected
20015,2025-09-12T01:00:00,0.37,0.82,0.0,229.8,0.95,Connected
20016,2025-09-12T01:00:00,0.39,0.85,0.0,229.0,0.93,Connected
20017,2025-09-12T01:00:00,0.35,0.76,0.0,233.7,0.99,Connected
20018,2025-09-12T01:00:00,0.35,0.74,0.0,226.7,1.0,Connected
20019,2025-09-12T01:00:00,0.35,0.82,0.0,230.4,0.86,Connected
20020,2025-09-12T01:00:00,0.32,0.73,0.0,232.2,0.94,Connected
20021,2025-09-12T01:00:00,0.35,0.77,0.0,233.0,0.89,Connected
20022,2025-09-12T01:00:00,0.4,0.79,0.0,230.1,0.98,Connected
20023,2025-09-12T01:00:00,0.32,0.71,0.0,230.5,0.87,Connected
20024,2025-09-12T01:00:00,0.39,0.83,0.0,234.8,0.88,Connected
20025,2025-09-12T01:00:00,0.37,0.82,0.0,232.1,0.86,Connected
20026,2025-09-12T01:00:00,0.34,0.76,0.0,233.8,0.87,Connected
20027,2025-09-12T01:00:00,0.38,0.86,0.0,234.8,0.92,Connected
20028,2025-09-12T01:00:00,0.39,0.77,0.0,230.3,0.94,Connected
30029,2025-09-12T01:00:00,0.68,1.51,0.0,231.0,0.99,Connected
30030,2025-09-12T01:00:00,0.75,1.52,0.0,237.1,0.99,Connected
30031,2025-09-12T01:00:00,0.68,1.4,0.0,233.5,0.96,Connected
30032,2025-09-12T01:00:00,0.79,1.71,0.0,234.0,0.87,Connected
30033,2025-09-12T01:00:00,0.82,1.54,0.0,231.0,0.98,Connected
30034,2025-09-12T01:00:00,0.73,1.48,0.0,229.1,0.96,Connected
30035,2025-09-12T01:00:00,0.69,1.42,0.0,231.9,0.91,Connected
30036,2025-09-12T01:00:00,0.77,1.63,0.0,228.3,0.86,Connected
30037,2025-09-12T01:00:00,0.79,1.55,0.0,230.4,0.92,Connected
30038,2025-09-12T01:00:00,0.69,1.56,0.0,228.5,1.0,Connected
30039,2025-09-12T01:00:00,0.64,1.39,0.0,231.6,0.96,Connected
30040,2025-09-12T01:00:00,0.75,1.55,0.0,230.6,0.98,Connected
30041,2025-09-12T01:00:00,0.7,1.5,0.0,225.2,0.95,Connected
30042,2025-09-12T01:00:00,0.7,1.56,0.0,226.6,0.9,Connected
40043,2025-09-12T01:00:00,0.4,0.8,0.0,233.8,0.97,Connected
40044,2025-09-12T01:00:00,0.4,0.84,0.0,226.2,0.89,Connected
40045,2025-09-12T01:00:00,0.32,0.77,0.0,233.3,0.97,Connected
40046,2025-09-12T01:00:00,0.34,0.81,0.0,228.7,0.87,Connected
40047,2025-09-12T01:00:00,0.4,0.77,0.0,231.2,0.86,Connected
40048,2025-09-12T01:00:00,0.39,0.85,0.0,231.1,0.9,Connected
40049,2025-09-12T01:00:00,0.33,0.76,0.0,237.1,0.89,Connected
40050,2025-09-12T01:00:00,0.34,0.8,0.0,229.9,0.95,Connected
40051,2025-09-12T01:00:00,0.34,0.77,0.0,229.1,0.88,Connected
40052,2025-09-12T01:00:00,0.32,0.68,0.0,231.2,0.85,Connected
40053,2025-09-12T01:00:00,0.37,0.75,0.0,225.4,0.9,Connected
40054,2025-09-12T01:00:00,0.35,0.83,0.0,224.3,0.9,Connected
40055,2025-09-12T01:00:00,0.4,0.86,0.0,237.5,0.94,Connected
40056,2025-09-12T01:00:00,0.39,0.79,0.0,233.8,0.86,Connected
40057,2025-09-12T01:00:00,0.35,0.74,0.0,232.4,0.87,Connected
40058,2025-09-12T01:00:00,0.37,0.73,0.0,237.0,0.96,Connected
40059,2025-09-12T01:00:00,0.36,0.82,0.0,224.7,0.97,Connected
10000,2025-09-12T02:00:00,1.14,4.2,0.0,226.4,0.93,Connected
10001,2025-09-12T02:00:00,1.35,4.59,0.0,229.3,0.94,Connected
10002,2025-09-12T02:00:00,1.4,4.65,0.0,231.6,0.86,Connected
10003,2025-09-12T02:00:00,1.45,4.7,0.0,231.1,0.9,Connected
10004,2025-09-12T02:00:00,1.26,4.24,0.0,227.4,0.97,Connected
10005,2025-09-12T02:00:00,1.41,4.46,0.0,228.9,0.97,Disconnected
10006,2025-09-12T02:00:00,1.29,4.24,0.0,236.1,0.86,Connected
10007,2025-09-12T02:00:00,1.38,4.58,0.0,234.0,0.94,Connected
10008,2025-09-12T02:00:00,1.24,4.33,0.0,227.7,0.92,Connected
10009,2025-09-12T02:00:00,1.34,4.3,0.0,229.7,0.87,Connected
10010,2025-09-12T02:00:00,1.16,4.16,0.0,225.5,0.85,Connected
10011,2025-09-12T02:00:00,1.4,4.55,0.0,229.1,0.91,Connected
20012,2025-09-12T02:00:00,0.35,1.15,0.0,232.2,0.96,Connected
20013,2025-09-12T02:00:00,0.37,1.07,0.0,229.7,0.88,Connected
20014,2025-09-12T02:00:00,0.29,1.03,0.0,230.9,0.99,Connected
20015,2025-09-12T02:00:00,0.29,1.11,0.0,237.5,0.9,Connected
20016,2025-09-12T02:00:00,0.34,1.19,0.0,228.9,0.92,Connected
20017,2025-09-12T02:00:00,0.32,1.08,0.0,224.1,0.91,Connected
20018,2025-09-12T02:00:00,0.34,1.08,0.0,229.3,0.94,Connected
20019,2025-09-12T02:00:00,0.28,1.1,0.0,227.0,0.91,Connected
20020,2025-09-12T02:00:00,0.28,1.0,0.0,233.2,0.99,Connected
20021,2025-09-12T02:00:00,0.28,1.05,0.0,231.8,0.9,Connected
20022,2025-09-12T02:00:00,0.3,1.1,0.0,233.0,0.98,Connected
20023,2025-09-12T02:00:00,0.29,1.0,0.0,233.5,0.87,Connected
20024,2025-09-12T02:00:00,0.35,1.18,0.0,230.7,0.97,Connected
20025,2025-09-12T02:00:00,0.29,1.11,0.0,235.6,0.9,Connected
20026,2025-09-12T02:00:00,0.35,1.11,0.0,228.7,0.9,Connected
20027,2025-09-12T02:00:00,0.35,1.21,0.0,233.6,0.89,Connected
20028,2025-09-12T02:00:00,0.36,1.13,0.0,222.9,0.99,Connected
30029,2025-09-12T02:00:00,0.74,2.26,0.0,224.8,0.88,Connected
30030,2025-09-12T02:00:00,0.57,2.1,0.0,228.8,0.98,Connected
30031,2025-09-12T02:00:00,0.59,1.99,0.0,233.6,0.98,Connected
30032,2025-09-12T02:00:00,0.65,2.36,0.0,232.7,0.89,Connected
30033,2025-09-12T02:00:00,0.73,2.27,0.0,230.9,0.94,Connected
30034,2025-09-12T02:00:00,0.56,2.05,0.0,230.2,0.9,Connected
30035,2025-09-12T02:00:00,0.56,1.98,0.0,235.7,0.86,Connected
30036,2025-09-12T02:00:00,0.65,2.29,0.0,226.3,0.89,Connected
30037,2025-09-12T02:00:00,0.68,2.23,0.0,232.7,0.9,Connected
30038,2025-09-12T02:00:00,0.62,2.19,0.0,229.9,0.89,Connected
30039,2025-09-12T02:00:00,0.57,1.96,0.0,231.1,0.85,Connected
30040,2025-09-12T02:00:00,0.55,2.11,0.0,232.4,0.92,Connected
30041,2025-09-12T02:00:00,0.55,2.05,0.0,227.7,0.87,Connected
30042,2025-09-12T02:00:00,0.66,2.22,0.0,226.8,0.96,Connected
40043,2025-09-12T02:00:00,0.35,1.15,0.0,230.1,0.98,Connected
40044,2025-09-12T02:00:00,0.34,1.19,0.0,228.2,0.93,Connected
40045,2025-09-12T02:00:00,0.33,1.09,0.0,226.5,0.97,Connected
40046,2025-09-12T02:00:00,0.28,1.09,0.0,230.1,0.94,Connected
40047,2025-09-12T02:00:00,0.28,1.05,0.0,225.2,0.92,Connected
40048,2025-09-12T02:00:00,0.37,1.22,0.0,232.3,0.87,Connected
40049,2025-09-12T02:00:00,0.32,1.08,0.0,233.9,0.96,Connected
40050,2025-09-12T02:00:00,0.36,1.16,0.0,232.5,0.96,Connected
40051,2025-09-12T02:00:00,0.35,1.12,0.0,230.1,0.89,Connected
40052,2025-09-12T02:00:00,0.34,1.02,0.0,229.9,0.99,Connected
40053,2025-09-12T02:00:00,0.28,1.03,0.0,228.8,0.92,Connected
40054,2025-09-12T02:00:00,0.28,1.12,0.0,236.1,0.87,Connected
40055,2025-09-12T02:00:00,0.3,1.16,0.0,224.6,0.95,Connected
40056,2025-09-12T02:00:00,0.31,1.1,0.0,226.7,0.92,Connected
40057,2025-09-12T02:00:00,0.37,1.11,0.0,232.1,0.99,Connected
40058,2025-09-12T02:00:00,0.35,1.09,0.0,230.4,0.92,Connected
40059,2025-09-12T02:00:00,0.33,1.15,0.0,232.6,0.9,Connected
10000,2025-09-12T03:00:00,1.06,5.26,0.0,231.5,0.88,Connected
10001,2025-09-12T03:00:00,1.24,5.83,0.0,230.2,0.86,Connected
10002,2025-09-12T03:00:00,1.04,5.69,0.0,231.7,0.89,Connected
10003,2025-09-12T03:00:00,1.28,5.98,0.0,222.7,1.0,Connected
10004,2025-09-12T03:00:00,1.12,5.36,0.0,229.9,0.93,Connected
10005,2025-09-12T03:00:00,1.13,5.6,0.0,224.0,0.95,Connected
10006,2025-09-12T03:00:00,1.17,5.41,0.0,235.6,0.88,Connected
10007,2025-09-12T03:00:00,1.28,5.86,0.0,237.4,0.99,Connected
10008,2025-09-12T03:00:00,1.24,5.57,0.0,233.8,0.94,Connected
10009,2025-09-12T03:00:00,1.2,5.5,0.0,224.7,0.98,Connected
10010,2025-09-12T03:00:00,0.97,5.13,0.0,235.3,0.92,Connected
10011,2025-09-12T03:00:00,1.29,5.84,0.0,232.1,0.92,Connected
20012,2025-09-12T03:00:00,0.3,1.45,0.0,228.8,0.95,Connected
20013,2025-09-12T03:00:00,0.32,1.39,0.0,226.9,0.96,Connected
20014,2025-09-12T03:00:00,0.28,1.31,0.0,231.1,0.95,Connected
20015,2025-09-12T03:00:00,0.25,1.36,0.0,233.7,0.85,Connected
20016,2025-09-12T03:00:00,0.26,1.45,0.0,230.4,0.91,Connected
20017,2025-09-12T03:00:00,0.32,1.4,0.0,232.5,0.95,Connected
20018,2025-09-12T03:00:00,0.32,1.4,0.0,225.6,0.94,Connected
20019,2025-09-12T03:00:00,0.27,1.37,0.0,226.4,0.86,Connected
20020,2025-09-12T03:00:00,0.25,1.25,0.0,226.8,0.95,Connected
20021,2025-09-12T03:00:00,0.31,1.36,0.0,223.0,0.99,Connected
20022,2025-09-12T03:00:00,0.33,1.42,0.0,229.4,0.94,Connected
20023,2025-09-12T03:00:00,0.32,1.31,0.0,230.2,0.94,Connected
20024,2025-09-12T03:00:00,0.24,1.42,0.0,232.4,1.0,Connected
20025,2025-09-12T03:00:00,0.32,1.43,0.0,225.7,0.97,Connected
20026,2025-09-12T03:00:00,0.28,1.39,0.0,232.8,0.85,Connected
20027,2025-09-12T03:00:00,0.27,1.48,0.0,227.9,1.0,Connected
20028,2025-09-12T03:00:00,0.27,1.4,0.0,229.4,0.9,Connected
30029,2025-09-12T03:00:00,0.51,2.76,0.0,228.5,0.94,Connected
30030,2025-09-12T03:00:00,0.62,2.72,0.0,224.9,0.88,Connected
30031,2025-09-12T03:00:00,0.52,2.51,0.0,238.1,0.85,Connected
30032,2025-09-12T03:00:00,0.64,2.99,0.0,229.0,0.93,Connected
30033,2025-09-12T03:00:00,0.58,2.85,0.0,233.9,0.86,Connected
30034,2025-09-12T03:00:00,0.53,2.58,0.0,232.4,0.96,Connected
30035,2025-09-12T03:00:00,0.63,2.61,0.0,224.5,0.96,Connected
30036,2025-09-12T03:00:00,0.51,2.79,0.0,229.9,1.0,Connected
30037,2025-09-12T03:00:00,0.51,2.74,0.0,223.3,0.94,Connected
30038,2025-09-12T03:00:00,0.59,2.77,0.0,236.1,0.93,Connected
30039,2025-09-12T03:00:00,0.65,2.61,0.0,236.9,0.91,Connected
30040,2025-09-12T03:00:00,0.6,2.71,0.0,229.9,0.9,Connected
30041,2025-09-12T03:00:00,0.54,2.59,0.0,232.5,0.95,Connected
30042,2025-09-12T03:00:00,0.65,2.87,0.0,236.1,0.89,Connected
40043,2025-09-12T03:00:00,0.25,1.4,0.0,224.9,0.94,Connected
40044,2025-09-12T03:00:00,0.25,1.44,0.0,231.7,0.96,Connected
40045,2025-09-12T03:00:00,0.24,1.33,0.0,229.4,0.97,Connected
40046,2025-09-12T03:00:00,0.32,1.41,0.0,231.7,0.92,Connected
40047,2025-09-12T03:00:00,0.3,1.35,0.0,226.3,0.86,Connected
40048,2025-09-12T03:00:00,0.32,1.54,0.0,229.2,0.96,Connected
40049,2025-09-12T03:00:00,0.27,1.35,0.0,228.4,0.97,Connected
40050,2025-09-12T03:00:00,0.28,1.44,0.0,227.2,0.89,Connected
40051,2025-09-12T03:00:00,0.27,1.39,0.0,229.5,0.97,Connected
40052,2025-09-12T03:00:00,0.26,1.28,0.0,239.0,0.96,Connected
40053,2025-09-12T03:00:00,0.29,1.32,0.0,230.1,0.86,Connected
40054,2025-09-12T03:00:00,0.25,1.36,0.0,226.3,0.99,Connected
40055,2025-09-12T03:00:00,0.26,1.43,0.0,226.8,0.88,Connected
40056,2025-09-12T03:00:00,0.24,1.34,0.0,226.3,0.91,Connected
40057,2025-09-12T03:00:00,0.27,1.38,0.0,230.1,0.97,Connected
40058,2025-09-12T03:00:00,0.25,1.34,0.0,234.7,0.98,Connected
40059,2025-09-12T03:00:00,0.3,1.46,0.0,230.9,0.88,Connected
10000,2025-09-12T04:00:00,1.24,6.5,0.0,229.6,0.87,Connected
10001,2025-09-12T04:00:00,1.27,7.1,0.0,227.4,0.99,Connected
10002,2025-09-12T04:00:00,0.97,6.66,0.0,224.8,0.86,Connected
10003,2025-09-12T04:00:00,0.97,6.95,0.0,235.6,0.98,Connected
10004,2025-09-12T04:00:00,0.98,6.34,0.0,228.5,0.92,Connected
10005,2025-09-12T04:00:00,1.18,6.77,0.0,231.9,0.86,Connected
10006,2025-09-12T04:00:00,0.98,6.38,0.0,224.1,0.89,Connected
10007,2025-09-12T04:00:00,1.04,6.9,0.0,232.3,0.91,Connected
10008,2025-09-12T04:00:00,0.96,6.53,0.0,225.9,0.96,Connected
10009,2025-09-12T04:00:00,1.19,6.69,0.0,228.6,0.88,Connected
10010,2025-09-12T04:00:00,1.12,6.25,0.0,229.1,0.86,Connected
10011,2025-09-12T04:00:00,1.1,6.94,0.0,234.4,0.86,Connected
20012,2025-09-12T04:00:00,0.32,1.77,0.0,234.2,0.91,Connected
20013,2025-09-12T04:00:00,0.26,1.65,0.0,224.1,0.96,Connected
20014,2025-09-12T04:00:00,0.26,1.57,0.0,231.8,0.86,Connected
20015,2025-09-12T04:00:00,0.29,1.66,0.0,230.0,0.92,Connected
20016,2025-09-12T04:00:00,0.3,1.75,0.0,231.2,0.94,Connected
20017,2025-09-12T04:00:00,0.31,1.72,0.0,231.4,0.97,Connected
20018,2025-09-12T04:00:00,0.27,1.66,0.0,232.5,0.85,Connected
20019,2025-09-12T04:00:00,0.3,1.67,0.0,233.2,0.97,Connected
20020,2025-09-12T04:00:00,0.32,1.57,0.0,233.3,0.97,Connected
20021,2025-09-12T04:00:00,0.27,1.63,0.0,224.3,0.86,Connected
20022,2025-09-12T04:00:00,0.28,1.71,0.0,232.9,0.91,Connected
20023,2025-09-12T04:00:00,0.33,1.64,0.0,229.8,0.96,Connected
20024,2025-09-12T04:00:00,0.32,1.74,0.0,229.3,0.86,Connected
20025,2025-09-12T04:00:00,0.32,1.75,0.0,234.8,0.93,Connected
20026,2025-09-12T04:00:00,0.29,1.68,0.0,233.6,0.86,Connected
20027,2025-09-12T04:00:00,0.31,1.79,0.0,231.6,0.96,Connected
20028,2025-09-12T04:00:00,0.28,1.68,0.0,228.9,0.97,Connected
30029,2025-09-12T04:00:00,0.55,3.32,0.0,230.4,0.87,Connected
30030,2025-09-12T04:00:00,0.5,3.21,0.0,231.0,0.91,Connected
30031,2025-09-12T04:00:00,0.63,3.14,0.0,231.0,0.94,Connected
30032,2025-09-12T04:00:00,0.58,3.57,0.0,231.5,0.98,Connected
30033,2025-09-12T04:00:00,0.6,3.45,0.0,232.4,0.94,Connected
30034,2025-09-12T04:00:00,0.52,3.1,0.0,223.9,0.99,Connected
30035,2025-09-12T04:00:00,0.53,3.14,0.0,232.8,0.86,Connected
30036,2025-09-12T04:00:00,0.55,3.35,0.0,232.2,0.88,Connected
30037,2025-09-12T04:00:00,0.49,3.23,0.0,229.0,0.97,Connected
30038,2025-09-12T04:00:00,0.51,3.28,0.0,234.6,0.89,Connected
30039,2025-09-12T04:00:00,0.64,3.25,0.0,230.4,0.96,Connected
30040,2025-09-12T04:00:00,0.59,3.29,0.0,228.5,0.89,Connected
30041,2025-09-12T04:00:00,0.6,3.19,0.0,235.7,0.98,Connected
30042,2025-09-12T04:00:00,0.65,3.52,0.0,227.7,0.95,Connected
40043,2025-09-12T04:00:00,0.25,1.66,0.0,228.7,0.86,Connected
40044,2025-09-12T04:00:00,0.26,1.7,0.0,234.9,0.87,Connected
40045,2025-09-12T04:00:00,0.27,1.6,0.0,233.6,0.9,Connected
40046,2025-09-12T04:00:00,0.31,1.72,0.0,235.0,0.94,Connected
40047,2025-09-12T04:00:00,0.3,1.65,0.0,221.5,0.94,Connected
40048,2025-09-12T04:00:00,0.27,1.82,0.0,227.6,0.95,Connected
40049,2025-09-12T04:00:00,0.3,1.65,0.0,228.9,0.88,Connected
40050,2025-09-12T04:00:00,0.27,1.71,0.0,223.8,0.93,Connected
40051,2025-09-12T04:00:00,0.29,1.68,0.0,232.7,0.93,Connected
40052,2025-09-12T04:00:00,0.29,1.57,0.0,227.6,0.87,Connected
40053,2025-09-12T04:00:00,0.32,1.64,0.0,229.2,0.99,Connected
40054,2025-09-12T04:00:00,0.29,1.65,0.0,226.2,0.88,Connected
40055,2025-09-12T04:00:00,0.25,1.68,0.0,229.6,0.88,Connected
40056,2025-09-12T04:00:00,0.26,1.6,0.0,230.5,0.93,Connected
40057,2025-09-12T04:00:00,0.3,1.67,0.0,231.3,0.94,Connected
40058,2025-09-12T04:00:00,0.28,1.62,0.0,227.8,0.92,Connected
40059,2025-09-12T04:00:00,0.26,1.72,0.0,228.1,0.96,Connected
10000,2025-09-12T05:00:00,1.8,8.3,0.0,226.7,0.97,Connected
10001,2025-09-12T05:00:00,1.51,8.61,0.0,227.1,0.91,Connected
10002,2025-09-12T05:00:00,1.68,8.34,0.0,233.4,1.0,Connected
10003,2025-09-12T05:00:00,1.81,8.76,0.0,238.0,0.94,Connected
10004,2025-09-12T05:00:00,1.38,7.72,0.0,234.7,0.96,Connected
10005,2025-09-12T05:00:00,1.71,8.48,0.0,230.5,0.92,Connected
10006,2025-09-12T05:00:00,1.62,8.01,0.0,227.1,0.95,Connected
10007,2025-09-12T05:00:00,1.38,8.28,0.0,226.7,0.95,Connected
10008,2025-09-12T05:00:00,1.54,8.07,0.0,233.9,0.87,Connected
10009,2025-09-12T05:00:00,1.51,8.2,0.0,229.2,0.87,Connected
10010,2025-09-12T05:00:00,1.42,7.67,0.0,229.5,0.93,Connected
10011,2025-09-12T05:00:00,1.38,8.32,0.0,227.9,0.98,Connected
20012,2025-09-12T05:00:00,0.46,2.23,0.0,233.2,0.95,Connected
20013,2025-09-12T05:00:00,0.36,2.01,0.0,227.9,0.9,Connected
20014,2025-09-12T05:00:00,0.44,2.02,0.0,233.3,0.92,Connected
20015,2025-09-12T05:00:00,0.43,2.09,0.0,232.9,0.94,Connected
20016,2025-09-12T05:00:00,0.45,2.2,0.0,227.7,0.93,Connected
20017,2025-09-12T05:00:00,0.34,2.06,0.0,228.4,0.95,Connected
20018,2025-09-12T05:00:00,0.37,2.04,0.0,231.4,0.92,Connected
20019,2025-09-12T05:00:00,0.41,2.08,0.0,232.1,0.89,Connected
20020,2025-09-12T05:00:00,0.4,1.97,0.0,231.8,0.89,Connected
20021,2025-09-12T05:00:00,0.4,2.04,0.0,223.9,0.9,Connected
20022,2025-09-12T05:00:00,0.42,2.13,0.0,225.1,0.89,Connected
20023,2025-09-12T05:00:00,0.37,2.01,0.0,232.1,0.98,Connected
20024,2025-09-12T05:00:00,0.39,2.13,0.0,226.2,0.93,Connected
20025,2025-09-12T05:00:00,0.45,2.2,0.0,228.0,0.96,Connected
20026,2025-09-12T05:00:00,0.46,2.14,0.0,231.1,0.97,Connected
20027,2025-09-12T05:00:00,0.34,2.13,0.0,230.1,0.88,Connected
20028,2025-09-12T05:00:00,0.44,2.12,0.0,232.1,0.85,Connected
30029,2025-09-12T05:00:00,0.75,4.07,0.0,230.3,0.92,Connected
30030,2025-09-12T05:00:00,0.83,4.05,0.0,232.9,0.99,Connected
30031,2025-09-12T05:00:00,0.74,3.88,0.0,226.3,0.91,Connected
30032,2025-09-12T05:00:00,0.7,4.28,0.0,233.6,0.88,Connected
30033,2025-09-12T05:00:00,0.87,4.32,0.0,228.2,0.89,Connected
30034,2025-09-12T05:00:00,0.7,3.8,0.0,230.1,0.93,Connected
30035,2025-09-12T05:00:00,0.73,3.87,0.0,232.3,0.95,Connected
30036,2025-09-12T05:00:00,0.86,4.21,0.0,233.2,1.0,Connected
30037,2025-09-12T05:00:00,0.8,4.03,0.0,229.9,0.88,Connected
30038,2025-09-12T05:00:00,0.83,4.12,0.0,230.7,0.86,Connected
30039,2025-09-12T05:00:00,0.73,3.98,0.0,230.6,0.89,Connected
30040,2025-09-12T05:00:00,0.79,4.08,0.0,233.2,1.0,Connected
30041,2025-09-12T05:00:00,0.78,3.97,0.0,234.2,0.93,Connected
30042,2025-09-12T05:00:00,0.88,4.4,0.0,230.6,0.97,Connected
40043,2025-09-12T05:00:00,0.35,2.01,0.0,227.4,0.93,Connected
40044,2025-09-12T05:00:00,0.41,2.11,0.0,228.2,0.91,Connected
40045,2025-09-12T05:00:00,0.45,2.05,0.0,238.2,0.92,Connected
40046,2025-09-12T05:00:00,0.4,2.12,0.0,228.5,0.95,Connected
