hub_id,transformer_id,timestamp,power_draw_kw,vehicles_charging,scheduled_end_time,status,flexible_charging_window
EVHUB-DT3,DT-3,2025-09-12T06:00:00,9.03,1,2025-09-12T06:27:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T06:00:00,8.94,1,2025-09-12T07:00:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T07:00:00,18.76,1,2025-09-12T07:27:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T07:00:00,12.92,1,2025-09-12T08:20:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T07:00:00,10.04,1,2025-09-12T08:30:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T07:00:00,10.31,1,2025-09-12T08:16:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T08:00:00,43.85,2,2025-09-12T08:51:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T08:00:00,16.39,1,2025-09-12T09:12:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T08:00:00,17.37,1,2025-09-12T08:27:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T08:00:00,24.88,2,2025-09-12T09:10:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T09:00:00,31.81,2,2025-09-12T09:51:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T09:00:00,13.79,1,2025-09-12T10:00:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T09:00:00,16.21,1,2025-09-12T09:22:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T09:00:00,19.85,1,2025-09-12T10:12:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T10:00:00,19.92,1,2025-09-12T10:24:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T10:00:00,17.33,1,2025-09-12T11:06:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T10:00:00,9.28,1,2025-09-12T10:47:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T10:00:00,12.58,1,2025-09-12T10:31:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T11:00:00,13.58,1,2025-09-12T12:18:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T11:00:00,16.85,1,2025-09-12T12:11:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T11:00:00,7.2,1,2025-09-12T11:49:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T11:00:00,21.2,1,2025-09-12T12:18:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T12:00:00,16.45,1,2025-09-12T12:30:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T12:00:00,21.68,1,2025-09-12T13:10:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T12:00:00,0,0,,Idle,False
EVHUB-DT4,DT-4,2025-09-12T12:00:00,10.15,1,2025-09-12T12:48:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T13:00:00,10.79,1,2025-09-12T14:15:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T13:00:00,0,0,,Idle,False
EVHUB-DT3,DT-3,2025-09-12T13:00:00,19.4,1,2025-09-12T14:03:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T13:00:00,15.26,1,2025-09-12T14:12:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T14:00:00,21.79,1,2025-09-12T15:01:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T14:00:00,14.14,1,2025-09-12T15:03:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T14:00:00,13.92,1,2025-09-12T15:23:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T14:00:00,10.63,1,2025-09-12T15:13:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T15:00:00,7.57,1,2025-09-12T16:19:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T15:00:00,21.86,1,2025-09-12T15:57:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T15:00:00,18.14,1,2025-09-12T15:58:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T15:00:00,8.69,1,2025-09-12T15:47:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T16:00:00,10.38,1,2025-09-12T17:28:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T16:00:00,14.63,1,2025-09-12T17:11:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T16:00:00,0,0,,Idle,False
EVHUB-DT4,DT-4,2025-09-12T16:00:00,20.94,1,2025-09-12T16:42:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T17:00:00,0,0,,Idle,False
EVHUB-DT2,DT-2,2025-09-12T17:00:00,6.43,1,2025-09-12T17:22:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T17:00:00,17.13,1,2025-09-12T17:57:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T17:00:00,9.38,1,2025-09-12T18:01:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T18:00:00,40.11,2,2025-09-12T19:20:00,Charging,True
EVHUB-DT2,DT-2,2025-09-12T18:00:00,6.44,1,2025-09-12T18:56:00,Charging,True
EVHUB-DT3,DT-3,2025-09-12T18:00:00,21.79,1,2025-09-12T18:48:00,Charging,True
EVHUB-DT4,DT-4,2025-09-12T18:00:00,22.22,2,2025-09-12T19:03:00,Charging,True
EVHUB-DT1,DT-1,2025-09-12T19:00:00,40.38,2,2025-09-12T19:43:00,Charging,True
EVHUB-DT2,DT-2,2025-09-12T19:00:00,16.83,1,2025-09-12T20:05:00,Charging,True
EVHUB-DT3,DT-3,2025-09-12T19:00:00,11.57,1,2025-09-12T20:00:00,Charging,True
EVHUB-DT4,DT-4,2025-09-12T19:00:00,19.25,2,2025-09-12T19:49:00,Charging,True
EVHUB-DT1,DT-1,2025-09-12T20:00:00,33.4,2,2025-09-12T20:28:00,Charging,True
EVHUB-DT2,DT-2,2025-09-12T20:00:00,16.88,1,2025-09-12T20:23:00,Charging,True
EVHUB-DT3,DT-3,2025-09-12T20:00:00,6.71,1,2025-09-12T21:22:00,Charging,True
EVHUB-DT4,DT-4,2025-09-12T20:00:00,39.59,2,2025-09-12T20:33:00,Charging,True
EVHUB-DT1,DT-1,2025-09-12T21:00:00,41.09,2,2025-09-12T22:30:00,Charging,True
EVHUB-DT2,DT-2,2025-09-12T21:00:00,16.67,1,2025-09-12T22:01:00,Charging,True
EVHUB-DT3,DT-3,2025-09-12T21:00:00,18.47,1,2025-09-12T21:22:00,Charging,True
EVHUB-DT4,DT-4,2025-09-12T21:00:00,23.52,2,2025-09-12T21:57:00,Charging,True
EVHUB-DT1,DT-1,2025-09-12T22:00:00,6.24,1,2025-09-12T23:13:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T22:00:00,10.3,1,2025-09-12T22:32:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T22:00:00,14.19,1,2025-09-12T23:16:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T22:00:00,28.02,2,2025-09-12T23:09:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T23:00:00,10.25,1,2025-09-13T00:28:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T23:00:00,18.85,1,2025-09-12T23:56:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T23:00:00,0,0,,Idle,False
EVHUB-DT4,DT-4,2025-09-12T23:00:00,0,0,,Idle,False
