timestamp,month,hour,weekday,day_type,irradiance_w_m2,solar_generation_kw,cloud_cover_pct,temperature_c,wind_speed_m_s,home_demand_kw,ev_demand_kw,total_demand_kw,balance_kw,status,grid_price_inr_per_kwh,p2p_sell_price_inr,p2p_buy_price_inr,bescom_feed_in_inr
2024-01-01 19:00,1,19,0,weekday,0,0,29.9,19.9,2.2,32.0,0.0,32.0,-32.0,DEFICIT,7.02,4.63,5.97,2.25
2024-01-01 20:00,1,20,0,weekday,0,0,26.8,19.6,2.9,20.06,9.13,29.19,-29.19,DEFICIT,6.97,4.61,5.92,2.25
2024-01-01 21:00,1,21,0,weekday,0,0,15.7,19.4,2.6,23.01,9.42,32.43,-32.43,DEFICIT,6.65,4.45,5.65,2.25
2024-01-01 22:00,1,22,0,weekday,0,0,33.6,17.4,1.6,15.48,12.33,27.81,-27.81,DEFICIT,4.54,3.4,3.86,2.25
2024-01-01 23:00,1,23,0,weekday,0,0,21.6,20.0,2.5,9.47,0,9.47,-9.47,DEFICIT,4.61,3.43,3.92,2.25
2024-01-02 00:00,1,0,1,weekday,0,0,37.3,17.4,1.9,7.16,2.85,10.01,-10.01,DEFICIT,4.6,3.42,3.91,2.25
2024-01-02 01:00,1,1,1,weekday,0,0,38.0,20.1,2.0,5.11,4.93,10.03,-10.03,DEFICIT,4.55,3.4,3.87,2.25
2024-01-02 02:00,1,2,1,weekday,0,0,16.5,17.8,3.2,5,0.0,5.0,-5.0,BALANCED,4.6,3.42,3.91,2.25
2024-01-02 03:00,1,3,1,weekday,0,0,9.9,16.3,3.2,5,2.59,7.59,-7.59,DEFICIT,4.64,3.44,3.94,2.25
2024-01-02 04:00,1,4,1,weekday,0,0,26.4,18.0,2.6,5,0.0,5.0,-5.0,BALANCED,3.95,3.1,3.36,2.25
2024-01-02 05:00,1,5,1,weekday,0,0,24.1,19.6,4.6,5.13,0.0,5.13,-5.13,DEFICIT,4.29,3.27,3.65,2.25
2024-01-02 06:00,1,6,1,weekday,29.9,3.03,23.6,17.3,1.1,17.73,0,17.73,-14.7,DEFICIT,5.75,4.0,4.89,2.25
2024-01-02 07:00,1,7,1,weekday,121.9,12.36,24.3,17.7,5.3,18.39,8.98,27.37,-15.01,DEFICIT,5.57,3.91,4.74,2.25
2024-01-02 08:00,1,8,1,weekday,271.5,27.53,17.2,19.1,2.8,15.56,14.34,29.9,-2.38,BALANCED,5.91,4.08,5.02,2.25
2024-01-02 09:00,1,9,1,weekday,331.9,33.66,21.1,22.8,3.2,12.07,0.0,12.07,21.59,SURPLUS,6.16,4.21,5.24,2.25
2024-01-02 10:00,1,10,1,weekday,446.4,45.27,20.9,22.8,3.8,10.08,0,10.08,35.19,SURPLUS,3.56,2.91,3.03,2.25
2024-01-02 11:00,1,11,1,weekday,531.7,53.92,33.8,24.0,2.6,10.08,0,10.08,43.84,SURPLUS,4.09,3.17,3.48,2.25
2024-01-02 12:00,1,12,1,weekday,644.7,65.37,26.8,21.9,3.5,10.68,0,10.68,54.69,SURPLUS,3.52,2.89,2.99,2.25
2024-01-02 13:00,1,13,1,weekday,524.7,52.73,27.8,27.2,2.8,10.18,0,10.18,42.55,SURPLUS,3.73,2.99,3.17,2.25
2024-01-02 14:00,1,14,1,weekday,499.5,50.39,28.5,26.2,2.2,9.84,0,9.84,40.55,SURPLUS,3.52,2.89,2.99,2.25
2024-01-02 15:00,1,15,1,weekday,470.4,47.45,12.7,26.3,2.8,9.07,0,9.07,38.37,SURPLUS,3.93,3.09,3.34,2.25
2024-01-02 16:00,1,16,1,weekday,263.4,26.65,17.6,25.5,4.6,10.81,0,10.81,15.84,SURPLUS,6.94,4.59,5.9,2.25
2024-01-02 17:00,1,17,1,weekday,137.8,13.98,29.0,24.0,2.2,13.2,0,13.2,0.78,BALANCED,6.57,4.41,5.59,2.25
2024-01-02 18:00,1,18,1,weekday,29.7,3.01,20.5,22.6,1.8,19.62,0.0,19.62,-16.61,DEFICIT,6.86,4.55,5.83,2.25
2024-01-02 19:00,1,19,1,weekday,0,0,23.1,19.1,4.1,24.16,0.0,24.16,-24.16,DEFICIT,6.7,4.47,5.69,2.25
2024-01-02 20:00,1,20,1,weekday,0,0,20.0,22.4,2.9,24.69,17.41,42.1,-42.1,DEFICIT,6.89,4.57,5.86,2.25
2024-01-02 21:00,1,21,1,weekday,0,0,18.0,20.3,4.4,19.86,13.31,33.17,-33.17,DEFICIT,6.23,4.24,5.29,2.25
2024-01-02 22:00,1,22,1,weekday,0,0,27.9,19.2,3.1,10.69,21.71,32.4,-32.4,DEFICIT,4.5,3.37,3.82,2.25
2024-01-02 23:00,1,23,1,weekday,0,0,24.5,15.3,3.3,9.58,0,9.58,-9.58,DEFICIT,4.32,3.29,3.67,2.25
2024-01-03 00:00,1,0,2,weekday,0,0,36.2,18.7,2.2,5.86,0.0,5.86,-5.86,DEFICIT,4.74,3.49,4.02,2.25
2024-01-03 01:00,1,1,2,weekday,0,0,20.1,17.9,3.9,5,0.0,5.0,-5.0,BALANCED,4.74,3.5,4.03,2.25
2024-01-03 02:00,1,2,2,weekday,0,0,30.8,16.5,1.3,5,3.25,8.25,-8.25,DEFICIT,4.93,3.59,4.19,2.25
2024-01-03 03:00,1,3,2,weekday,0,0,8.1,19.3,2.6,5,4.48,9.48,-9.48,DEFICIT,4.65,3.45,3.95,2.25
2024-01-03 04:00,1,4,2,weekday,0,0,40.0,15.4,3.1,5,2.23,7.23,-7.23,DEFICIT,4.89,3.57,4.16,2.25
2024-01-03 05:00,1,5,2,weekday,0,0,19.6,15.6,3.0,5,0.0,5.0,-5.0,BALANCED,4.3,3.27,3.65,2.25
2024-01-03 06:00,1,6,2,weekday,28.5,2.89,21.2,17.7,3.7,13.94,0,13.94,-11.05,DEFICIT,5.71,3.98,4.85,2.25
2024-01-03 07:00,1,7,2,weekday,92.0,9.33,15.0,18.5,3.9,21.41,8.1,29.5,-20.18,DEFICIT,5.72,3.98,4.86,2.25
2024-01-03 08:00,1,8,2,weekday,215.1,21.81,16.1,22.1,2.4,14.87,7.57,22.44,-0.63,BALANCED,5.96,4.1,5.06,2.25
2024-01-03 09:00,1,9,2,weekday,377.9,38.32,30.8,20.4,3.3,11.98,15.04,27.02,11.31,SURPLUS,6.05,4.15,5.14,2.25
2024-01-03 10:00,1,10,2,weekday,457.8,46.42,26.1,21.4,2.3,8.53,0,8.53,37.89,SURPLUS,3.61,2.93,3.06,2.25
2024-01-03 11:00,1,11,2,weekday,550.5,55.82,24.5,21.0,2.9,8.85,0,8.85,46.97,SURPLUS,4.11,3.18,3.49,2.25
2024-01-03 12:00,1,12,2,weekday,615.5,62.41,16.3,24.3,4.0,9.11,0,9.11,53.3,SURPLUS,3.7,2.98,3.15,2.25
2024-01-03 13:00,1,13,2,weekday,529.3,53.5,23.3,25.8,3.4,11.36,0,11.36,42.14,SURPLUS,3.87,3.06,3.29,2.25
2024-01-03 14:00,1,14,2,weekday,469.0,47.56,27.4,24.4,3.9,10.76,0,10.76,36.8,SURPLUS,3.58,2.91,3.04,2.25
2024-01-03 15:00,1,15,2,weekday,382.2,38.66,21.0,25.6,3.4,8.45,0,8.45,30.21,SURPLUS,4.05,3.15,3.44,2.25
2024-01-03 16:00,1,16,2,weekday,277.8,28.02,39.6,26.4,3.1,12.04,0,12.04,15.98,SURPLUS,6.8,4.53,5.78,2.25
2024-01-03 17:00,1,17,2,weekday,149.1,15.12,25.5,21.1,1.6,11.95,0,11.95,3.17,BALANCED,6.19,4.22,5.26,2.25
2024-01-03 18:00,1,18,2,weekday,26.1,2.65,14.7,23.8,2.6,20.17,20.87,41.04,-38.39,DEFICIT,6.79,4.52,5.77,2.25
2024-01-03 19:00,1,19,2,weekday,0,0,23.5,19.5,3.4,23.88,17.89,41.78,-41.78,DEFICIT,6.41,4.33,5.45,2.25
2024-01-03 20:00,1,20,2,weekday,0,0,27.0,20.1,2.7,26.04,20.82,46.87,-46.87,DEFICIT,6.95,4.6,5.91,2.25
2024-01-03 21:00,1,21,2,weekday,0,0,20.4,20.1,3.1,19.23,16.97,36.2,-36.2,DEFICIT,7.1,4.68,6.04,2.25
2024-01-03 22:00,1,22,2,weekday,0,0,26.6,18.3,1.3,14.83,0.0,14.83,-14.83,DEFICIT,4.53,3.39,3.85,2.25
2024-01-03 23:00,1,23,2,weekday,0,0,31.3,17.2,2.8,9.44,0,9.44,-9.44,DEFICIT,3.91,3.08,3.33,2.25
2024-01-04 00:00,1,0,3,weekday,0,0,34.2,17.7,1.8,6.34,0.0,6.34,-6.34,DEFICIT,4.37,3.31,3.72,2.25
2024-01-04 01:00,1,1,3,weekday,0,0,35.1,16.2,2.1,5,0.0,5.0,-5.0,BALANCED,5.24,3.74,4.45,2.25
2024-01-04 02:00,1,2,3,weekday,0,0,17.3,15.2,2.4,5,0.0,5.0,-5.0,BALANCED,4.26,3.25,3.62,2.25
2024-01-04 03:00,1,3,3,weekday,0,0,41.1,17.8,3.5,5,0.0,5.0,-5.0,BALANCED,4.18,3.21,3.55,2.25
2024-01-04 04:00,1,4,3,weekday,0,0,30.9,19.1,4.7,5,2.17,7.17,-7.17,DEFICIT,4.77,3.51,4.05,2.25
2024-01-04 05:00,1,5,3,weekday,0,0,25.9,10.4,2.1,6.0,0.0,6.0,-6.0,DEFICIT,4.69,3.47,3.99,2.25
2024-01-04 06:00,1,6,3,weekday,41.6,4.22,31.8,18.6,3.6,16.33,0,16.33,-12.11,DEFICIT,5.61,3.93,4.77,2.25
2024-01-04 07:00,1,7,3,weekday,149.0,15.11,18.3,18.4,3.3,22.53,0.0,22.53,-7.42,DEFICIT,5.93,4.09,5.04,2.25
2024-01-04 08:00,1,8,3,weekday,340.7,34.55,22.5,17.7,1.2,14.5,12.71,27.21,7.34,SURPLUS,5.77,4.01,4.91,2.25
2024-01-04 09:00,1,9,3,weekday,475.7,48.24,20.8,21.4,3.9,11.84,0.0,11.84,36.39,SURPLUS,5.72,3.99,4.86,2.25
2024-01-04 10:00,1,10,3,weekday,654.1,66.33,28.8,21.0,3.8,9.97,0,9.97,56.36,SURPLUS,4.11,3.18,3.5,2.25
2024-01-04 11:00,1,11,3,weekday,784.0,79.49,31.8,22.6,1.7,10.91,0,10.91,68.59,SURPLUS,3.63,2.94,3.09,2.25
2024-01-04 12:00,1,12,3,weekday,856.3,86.47,39.9,26.0,2.6,9.54,0,9.54,76.94,SURPLUS,4.25,3.25,3.62,2.25
2024-01-04 13:00,1,13,3,weekday,750.4,76.1,34.5,23.0,2.7,9.71,0,9.71,66.39,SURPLUS,3.82,3.03,3.25,2.25
2024-01-04 14:00,1,14,3,weekday,823.8,83.23,39.9,25.9,3.4,8.18,0,8.18,75.05,SURPLUS,3.67,2.96,3.12,2.25
2024-01-04 15:00,1,15,3,weekday,515.5,52.27,31.5,24.4,2.5,10.28,0,10.28,42.0,SURPLUS,3.79,3.02,3.22,2.25
2024-01-04 16:00,1,16,3,weekday,405.6,41.13,21.9,22.2,2.3,11.58,0,11.58,29.54,SURPLUS,6.88,4.57,5.85,2.25
2024-01-04 17:00,1,17,3,weekday,196.6,19.93,36.9,22.1,2.9,17.94,0,17.94,1.99,BALANCED,6.72,4.49,5.71,2.25
2024-01-04 18:00,1,18,3,weekday,38.7,3.93,32.0,23.4,2.3,23.79,16.21,39.99,-36.07,DEFICIT,6.49,4.37,5.52,2.25
2024-01-04 19:00,1,19,3,weekday,0,0,34.2,20.9,2.1,26.23,13.54,39.76,-39.76,DEFICIT,6.57,4.41,5.59,2.25
2024-01-04 20:00,1,20,3,weekday,0,0,27.5,20.0,2.7,18.24,6.55,24.79,-24.79,DEFICIT,6.78,4.52,5.77,2.25
2024-01-04 21:00,1,21,3,weekday,0,0,22.9,18.5,2.1,14.47,7.13,21.6,-21.6,DEFICIT,6.32,4.28,5.37,2.25
2024-01-04 22:00,1,22,3,weekday,0,0,39.6,18.4,2.7,12.75,0.0,12.75,-12.75,DEFICIT,4.06,3.16,3.45,2.25
2024-01-04 23:00,1,23,3,weekday,0,0,45.7,17.9,3.9,7.49,0,7.49,-7.49,DEFICIT,4.53,3.39,3.85,2.25
2024-01-05 00:00,1,0,4,weekday,0,0,15.8,17.4,3.0,8.23,2.5,10.73,-10.73,DEFICIT,4.73,3.49,4.02,2.25
2024-01-05 01:00,1,1,4,weekday,0,0,24.3,19.3,1.7,5,0.0,5.0,-5.0,BALANCED,4.26,3.26,3.62,2.25
2024-01-05 02:00,1,2,4,weekday,0,0,24.6,16.7,2.8,5,0.0,5.0,-5.0,BALANCED,4.09,3.17,3.48,2.25
2024-01-05 03:00,1,3,4,weekday,0,0,32.5,14.3,2.5,5,3.17,8.17,-8.17,DEFICIT,4.2,3.23,3.57,2.25
2024-01-05 04:00,1,4,4,weekday,0,0,19.4,15.1,0.9,5,0.0,5.0,-5.0,BALANCED,4.7,3.47,3.99,2.25
2024-01-05 05:00,1,5,4,weekday,0,0,23.4,17.0,3.7,5.38,3.12,8.5,-8.5,DEFICIT,4.55,3.4,3.87,2.25
2024-01-05 06:00,1,6,4,weekday,28.5,2.89,10.3,17.2,2.1,11.67,0,11.67,-8.78,DEFICIT,5.9,4.07,5.01,2.25
2024-01-05 07:00,1,7,4,weekday,81.3,8.25,2.9,17.3,1.9,21.28,0.0,21.28,-13.04,DEFICIT,5.85,4.05,4.98,2.25
2024-01-05 08:00,1,8,4,weekday,187.4,19.01,24.6,21.3,2.8,14.02,6.68,20.7,-1.7,BALANCED,5.55,3.9,4.72,2.25
2024-01-05 09:00,1,9,4,weekday,298.0,30.22,22.4,21.2,2.0,10.45,0.0,10.45,19.77,SURPLUS,5.76,4.01,4.9,2.25
2024-01-05 10:00,1,10,4,weekday,352.7,35.76,19.6,24.3,2.1,7.74,0,7.74,28.02,SURPLUS,3.75,3.0,3.19,2.25
2024-01-05 11:00,1,11,4,weekday,462.5,46.9,3.9,24.5,1.6,8.66,0,8.66,38.24,SURPLUS,3.96,3.11,3.37,2.25
2024-01-05 12:00,1,12,4,weekday,550.8,55.86,21.0,24.1,4.4,10.72,0,10.72,45.14,SURPLUS,4.11,3.18,3.49,2.25
2024-01-05 13:00,1,13,4,weekday,388.3,39.37,20.2,24.2,3.2,10.64,0,10.64,28.74,SURPLUS,3.96,3.11,3.37,2.25
2024-01-05 14:00,1,14,4,weekday,444.8,45.11,19.0,24.0,2.0,10.33,0,10.33,34.78,SURPLUS,3.93,3.09,3.34,2.25
2024-01-05 15:00,1,15,4,weekday,332.2,33.59,22.7,25.7,3.6,8.18,0,8.18,25.41,SURPLUS,3.81,3.03,3.24,2.25
2024-01-05 16:00,1,16,4,weekday,227.4,22.98,12.2,25.8,4.5,12.57,0,12.57,10.41,SURPLUS,6.55,4.4,5.57,2.25
2024-01-05 17:00,1,17,4,weekday,104.3,10.57,19.6,23.2,2.8,16.96,0,16.96,-6.39,DEFICIT,6.65,4.45,5.66,2.25
2024-01-05 18:00,1,18,4,weekday,29.4,2.98,18.9,21.8,1.8,19.84,7.21,27.05,-24.07,DEFICIT,7.11,4.68,6.04,2.25
2024-01-05 19:00,1,19,4,weekday,0,0,23.0,21.3,4.3,31.78,8.24,40.02,-40.02,DEFICIT,7.28,4.76,6.18,2.25
2024-01-05 20:00,1,20,4,weekday,0,0,11.3,19.8,2.6,28.7,13.68,42.38,-42.38,DEFICIT,6.52,4.39,5.54,2.25
2024-01-05 21:00,1,21,4,weekday,0,0,29.0,19.2,2.4,21.52,19.5,41.02,-41.02,DEFICIT,6.39,4.32,5.43,2.25
2024-01-05 22:00,1,22,4,weekday,0,0,14.8,20.0,2.9,12.4,0.0,12.4,-12.4,DEFICIT,4.38,3.32,3.72,2.25
2024-01-05 23:00,1,23,4,weekday,0,0,29.9,20.6,2.8,10.09,0,10.09,-10.09,DEFICIT,4.8,3.52,4.08,2.25
2024-01-06 00:00,1,0,5,weekend,0,0,14.1,19.8,2.6,7.5,0.0,7.5,-7.5,DEFICIT,4.67,3.46,3.97,2.25
2024-01-06 01:00,1,1,5,weekend,0,0,36.4,18.0,4.1,6.45,3.45,9.9,-9.9,DEFICIT,4.21,3.23,3.58,2.25
2024-01-06 02:00,1,2,5,weekend,0,0,31.9,14.8,2.7,6.2,5.14,11.34,-11.34,DEFICIT,4.58,3.42,3.89,2.25
2024-01-06 03:00,1,3,5,weekend,0,0,16.5,17.8,1.9,5,0.0,5.0,-5.0,BALANCED,4.4,3.33,3.74,2.25
2024-01-06 04:00,1,4,5,weekend,0,0,1.9,15.8,3.2,5,0.0,5.0,-5.0,BALANCED,4.89,3.57,4.16,2.25
2024-01-06 05:00,1,5,5,weekend,0,0,9.9,18.5,2.3,6.54,5.15,11.7,-11.7,DEFICIT,4.61,3.43,3.92,2.25
2024-01-06 06:00,1,6,5,weekend,28.0,2.84,7.3,15.4,4.1,16.94,0,16.94,-14.1,DEFICIT,5.68,3.96,4.82,2.25
2024-01-06 07:00,1,7,5,weekend,101.7,10.31,8.4,17.2,1.6,24.39,0.0,24.39,-14.08,DEFICIT,5.87,4.06,4.99,2.25
2024-01-06 08:00,1,8,5,weekend,198.0,20.08,23.7,20.1,1.8,18.06,0.0,18.06,2.02,BALANCED,6.33,4.29,5.38,2.25
2024-01-06 09:00,1,9,5,weekend,347.8,35.27,16.5,21.4,3.2,11.99,16.42,28.42,6.85,SURPLUS,5.37,3.81,4.56,2.25
2024-01-06 10:00,1,10,5,weekend,447.2,45.35,15.2,24.6,2.6,12.13,0,12.13,33.22,SURPLUS,4.45,3.35,3.78,2.25
2024-01-06 11:00,1,11,5,weekend,556.4,56.31,20.0,25.5,4.0,10.42,0,10.42,45.9,SURPLUS,3.55,2.9,3.02,2.25
2024-01-06 12:00,1,12,5,weekend,566.9,56.76,20.5,28.1,4.1,13.1,0,13.1,43.65,SURPLUS,3.64,2.95,3.09,2.25
2024-01-06 13:00,1,13,5,weekend,556.3,56.28,18.9,25.6,3.8,10.7,0,10.7,45.58,SURPLUS,4.4,3.32,3.74,2.25
2024-01-06 14:00,1,14,5,weekend,460.2,46.31,0,26.9,4.7,9.86,0,9.86,36.45,SURPLUS,4.12,3.19,3.5,2.25
2024-01-06 15:00,1,15,5,weekend,307.6,31.08,14.8,25.9,3.6,10.95,0,10.95,20.13,SURPLUS,3.88,3.07,3.3,2.25
2024-01-06 16:00,1,16,5,weekend,264.7,26.84,6.9,24.8,3.1,13.21,0,13.21,13.63,SURPLUS,7.15,4.7,6.07,2.25
2024-01-06 17:00,1,17,5,weekend,130.4,13.15,24.0,26.3,3.5,18.9,0,18.9,-5.74,DEFICIT,7.25,4.75,6.16,2.25
2024-01-06 18:00,1,18,5,weekend,31.4,3.19,27.9,21.5,3.2,30.64,16.84,47.48,-44.29,DEFICIT,7.28,4.77,6.19,2.25
2024-01-06 19:00,1,19,5,weekend,0,0,21.9,19.7,4.3,25.32,19.85,45.17,-45.17,DEFICIT,6.86,4.56,5.83,2.25
2024-01-06 20:00,1,20,5,weekend,0,0,23.2,19.6,2.8,25.8,21.64,47.44,-47.44,DEFICIT,6.9,4.57,5.86,2.25
2024-01-06 21:00,1,21,5,weekend,0,0,22.9,18.4,2.7,19.3,17.43,36.73,-36.73,DEFICIT,6.72,4.49,5.72,2.25
2024-01-06 22:00,1,22,5,weekend,0,0,5.5,20.8,3.3,16.15,0.0,16.15,-16.15,DEFICIT,4.75,3.5,4.04,2.25
2024-01-06 23:00,1,23,5,weekend,0,0,13.7,18.2,2.1,10.01,0,10.01,-10.01,DEFICIT,4.25,3.25,3.61,2.25
2024-01-07 00:00,1,0,6,weekend,0,0,26.3,16.1,3.0,10.21,0.0,10.21,-10.21,DEFICIT,4.73,3.49,4.02,2.25
2024-01-07 01:00,1,1,6,weekend,0,0,21.7,18.3,1.7,6.44,4.16,10.6,-10.6,DEFICIT,4.41,3.33,3.75,2.25
2024-01-07 02:00,1,2,6,weekend,0,0,16.0,14.1,1.5,5,2.21,7.21,-7.21,DEFICIT,4.03,3.14,3.42,2.25
2024-01-07 03:00,1,3,6,weekend,0,0,30.8,15.6,4.3,5,0.0,5.0,-5.0,BALANCED,4.07,3.16,3.46,2.25
2024-01-07 04:00,1,4,6,weekend,0,0,22.8,18.9,2.6,5,2.42,7.42,-7.42,DEFICIT,5.28,3.76,4.49,2.25
2024-01-07 05:00,1,5,6,weekend,0,0,35.6,17.2,3.1,6.14,2.95,9.09,-9.09,DEFICIT,4.77,3.51,4.06,2.25
2024-01-07 06:00,1,6,6,weekend,32.4,3.28,28.0,20.0,2.9,18.13,0,18.13,-14.84,DEFICIT,5.98,4.12,5.09,2.25
2024-01-07 07:00,1,7,6,weekend,102.9,10.44,36.0,21.1,4.4,23.24,0.0,23.24,-12.8,DEFICIT,5.28,3.77,4.49,2.25
2024-01-07 08:00,1,8,6,weekend,221.1,22.41,32.5,23.0,3.3,19.81,0.0,19.81,2.6,BALANCED,6.03,4.14,5.13,2.25
2024-01-07 09:00,1,9,6,weekend,352.1,35.7,28.2,23.3,3.0,12.65,18.58,31.23,4.48,BALANCED,5.66,3.95,4.81,2.25
2024-01-07 10:00,1,10,6,weekend,469.1,47.57,21.8,19.6,4.1,11.32,0,11.32,36.25,SURPLUS,4.04,3.15,3.44,2.25
2024-01-07 11:00,1,11,6,weekend,515.1,52.23,27.6,20.5,3.6,11.27,0,11.27,40.96,SURPLUS,3.43,2.84,2.91,2.25
2024-01-07 12:00,1,12,6,weekend,645.9,65.49,23.3,21.9,3.7,12.58,0,12.58,52.92,SURPLUS,3.71,2.98,3.16,2.25
2024-01-07 13:00,1,13,6,weekend,562.5,56.96,33.5,25.4,2.5,11.42,0,11.42,45.53,SURPLUS,4.17,3.21,3.54,2.25
2024-01-07 14:00,1,14,6,weekend,493.1,50.0,25.4,24.2,4.6,11.79,0,11.79,38.21,SURPLUS,4.06,3.16,3.45,2.25
2024-01-07 15:00,1,15,6,weekend,355.8,35.94,9.6,26.0,3.6,12.99,0,12.99,22.95,SURPLUS,3.84,3.04,3.26,2.25
2024-01-07 16:00,1,16,6,weekend,291.1,29.51,24.7,23.2,4.2,14.72,0,14.72,14.79,SURPLUS,6.65,4.45,5.65,2.25
2024-01-07 17:00,1,17,6,weekend,123.9,12.53,37.1,25.7,4.2,19.96,0,19.96,-7.43,DEFICIT,6.91,4.58,5.88,2.25
2024-01-07 18:00,1,18,6,weekend,30.8,3.12,7.7,22.0,1.8,25.04,18.37,43.41,-40.29,DEFICIT,6.28,4.27,5.34,2.25
2024-01-07 19:00,1,19,6,weekend,0,0,32.3,22.8,2.5,31.75,17.6,49.35,-49.35,DEFICIT,6.75,4.5,5.74,2.25
2024-01-07 20:00,1,20,6,weekend,0,0,32.9,19.0,3.1,31.74,10.16,41.9,-41.9,DEFICIT,6.57,4.41,5.59,2.25
2024-01-07 21:00,1,21,6,weekend,0,0,29.3,21.2,3.2,21.96,0.0,21.96,-21.96,DEFICIT,7.11,4.68,6.05,2.25
2024-01-07 22:00,1,22,6,weekend,0,0,14.2,17.9,3.4,15.66,21.14,36.8,-36.8,DEFICIT,4.39,3.32,3.73,2.25
2024-01-07 23:00,1,23,6,weekend,0,0,31.8,19.5,3.7,12.42,0,12.42,-12.42,DEFICIT,4.71,3.48,4.0,2.25
2024-01-08 00:00,1,0,0,weekday,0,0,22.8,18.1,2.7,6.34,4.63,10.96,-10.96,DEFICIT,4.55,3.4,3.87,2.25
2024-01-08 01:00,1,1,0,weekday,0,0,20.3,18.0,3.0,5.46,0.0,5.46,-5.46,DEFICIT,4.62,3.43,3.93,2.25
2024-01-08 02:00,1,2,0,weekday,0,0,22.6,17.4,3.1,5,0.0,5.0,-5.0,BALANCED,4.31,3.28,3.66,2.25
2024-01-08 03:00,1,3,0,weekday,0,0,36.0,17.9,2.6,5,3.94,8.94,-8.94,DEFICIT,4.42,3.34,3.76,2.25
2024-01-08 04:00,1,4,0,weekday,0,0,33.1,17.5,2.8,5,0.0,5.0,-5.0,BALANCED,5.19,3.72,4.41,2.25
2024-01-08 05:00,1,5,0,weekday,0,0,34.4,16.5,2.0,5.38,0.0,5.38,-5.38,DEFICIT,4.4,3.32,3.74,2.25
2024-01-08 06:00,1,6,0,weekday,34.1,3.46,15.1,19.1,4.2,16.05,0,16.05,-12.59,DEFICIT,5.86,4.05,4.98,2.25
2024-01-08 07:00,1,7,0,weekday,135.7,13.76,20.1,21.8,1.9,18.93,11.06,29.99,-16.24,DEFICIT,5.15,3.7,4.38,2.25
